Compartment,TotalArea,AreaWaterPortion,AreaUplandPortion,AreaMarshPortion,MarshEdgeLength,Runoff_method,bed_elev,bed_depth,bed_bulk_density,percentForETcalc,sand_adaptionCeoff,Runoff_coeff,RainGage,WindGage,ETGage,CurrentsCoeff_ka,bedFricCoeff_cf,NonSandExp_sedn,NonSandCoeff_sedcalib,SandCoeff_alphased,Marsh_Flow_roughness_Kka,Minimum_Marsh_Flow_Depth_Kkdepth,MarshEdgeErosionRate_myr,offshore_TSS_-9999_if_not_used_CSSos,marsh_elev_mean,marsh_elev_stdv,soil_moisture_depth_Esho,depo_on_off,marh_elev_adjust,!,! Notes
82,39658138,0.029865,0.032724,0.937411,2542500,2,-0.5,0.05,0.835,10,0.25,40,66,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.046978415,-9999,0.519315,0.587488567,0.2,1,-0.587488567,!,2D compartment
83,20965317,0.04482,0.040871,0.914309,1350000,2,-0.114989,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.075897927,-9999,0.668885,0.577263168,0.2,1,-0.577263168,!,2D compartment
84,2126009,0.016074,0.287225,0.696701,51300,2,-0.148057,0.05,0.835,10,0.25,40,64,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.010360623,-9999,0.558506,0.389555094,0.2,1,-0.389555094,!,2D compartment
85,21465312,0.137622,0.0855,0.776879,2362500,2,-0.18295,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.145179736,-9999,0.564875,0.571720969,0.2,1,-0.571720969,!,2D compartment
86,43182915,0.004481,0.847451,0.148068,578700,2,-2.077246,0.05,0.835,10,0.25,40,66,251,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.013857079,-9999,0.192923,0.99103507,0.2,1,-0.99103507,!,2D compartment
87,37758117,0.013035,0.374821,0.612144,667800,2,-2.054201,0.05,0.835,10,0.25,40,66,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.00087145,-9999,0.291374,0.828635762,0.2,1,-0.828635762,!,2D compartment
88,1469217,0.076074,0.841104,0.082822,190800,2,-1.660875,0.05,0.835,10,0.25,40,70,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.008210384,-9999,0.192923,0.666287632,0.2,1,-0.666287632,!,2D compartment
89,12018671,0.001647,0.340696,0.657656,193500,2,-0.00385,0.05,0.835,10,0.25,40,96,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.192923,0.534008348,0.2,1,-0.534008348,!,2D compartment
90,22023722,0.000531,0.201888,0.797581,268200,2,-1.033336,0.05,0.835,10,0.25,40,128,250,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.018955759,-9999,0.192923,0.636473702,0.2,1,-0.636473702,!,2D compartment
91,6523764,0,0.536955,0.463045,23400,2,-0.307077,0.05,0.835,10,0.25,40,172,250,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.039399628,-9999,0.059446,0.66783307,0.2,1,-0.66783307,!,2D compartment
92,15858731,0.227159,0.004994,0.767847,4000500,2,-0.197159,0.05,0.835,10,0.25,40,173,250,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.172522189,-9999,0.262649,0.256279265,0.2,1,-0.256279265,!,FWOA diversion outfall - Mid-Breton
93,12542898,0.271918,0.002224,0.725857,2231100,2,-0.234445,0.05,0.835,10,0.25,40,152,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.728684322,-9999,0.318504,0.277632583,0.2,1,-0.277632583,!,FWOA diversion outfall - Mid-Breton
